MWP	ONames	GLON	GLAT	iXdiam	iYdiam	oXdiam	Reff	Thick	Ecc	PA	Hit	Disp	Flag	_RA.icrs	_DE.icrs
1G018261-002967	N22                 	018.261	-00.297	 3.378	  3.289	 5.262	 2.09	 1.88	 0.228	 18	 0.67	 0.007	1  	276.3214	-13.1655
1G312675+000465	S128                	312.675	+00.046	 2.306	  2.527	 3.574	 1.49	 1.27	 0.409	  4	 0.64	 0.004	   	213.4641	-61.2569
1G310982+004071	S137                	310.982	+00.407	 4.746	  4.546	 7.915	 3.01	 3.17	 0.287	 43	 0.62	 0.011	1 2	209.8676	-61.3969
1G307391-007207	                    	307.391	-00.721	 2.744	  2.630	 4.033	 1.63	 1.29	 0.286	 69	 0.61	 0.007	   	202.8047	-63.2478
1G343918-006487	S15                 	343.918	-00.649	 3.221	  3.112	 5.588	 2.09	 2.37	 0.258	 15	 0.60	 0.007	   	255.8636	-42.6055
1G316519-005993	S114                	316.519	-00.599	 2.211	  2.112	 3.876	 1.44	 1.67	 0.295	 36	 0.60	 0.006	   	221.2906	-60.4355
1G049699-001620	N102,N103           	049.699	-00.162	 3.140	  3.156	 4.868	 1.96	 1.73	 0.100	 26	 0.60	 0.007	   	290.8298	+14.8005
1G338712+006434	                    	338.712	+00.643	 3.021	  3.007	 4.955	 1.93	 1.93	 0.096	 50	 0.59	 0.006	2  	249.8443	-45.7955
1G354981-005283	CS39                	354.981	-00.528	 1.922	  1.827	 3.358	 1.25	 1.44	 0.310	 22	 0.59	 0.006	2  	263.8136	-33.4706
1G320159+007984	S96                 	320.159	+00.798	 2.109	  2.094	 3.622	 1.38	 1.51	 0.119	 23	 0.58	 0.009	   	226.3315	-57.5253
1G063163+004407	N133                	063.163	+00.441	 3.941	  3.727	 6.826	 2.54	 2.88	 0.325	 22	 0.58	 0.011	   	297.3151	+26.8461
1G323536-003512	S86                 	323.536	-00.351	 1.855	  1.783	 3.426	 1.24	 1.57	 0.275	 15	 0.57	 0.005	2  	232.7269	-56.7031
1G337683-003402	S37                 	337.683	-00.340	 2.597	  2.452	 4.243	 1.62	 1.65	 0.329	 43	 0.57	 0.009	1  	249.9160	-47.2177
1G354588+000038	CS47                	354.588	+00.004	 1.966	  1.971	 3.131	 1.24	 1.17	 0.073	  5	 0.56	 0.005	   	263.0220	-33.5112
1G045387-007155	N95                 	045.387	-00.715	 2.753	  2.769	 4.007	 1.66	 1.25	 0.108	 27	 0.56	 0.009	   	289.2550	+10.7336
1G317463-003466	S106                	317.463	-00.347	 2.676	  2.687	 4.233	 1.69	 1.56	 0.093	 10	 0.56	 0.004	   	222.7782	-59.7988
1G028006+003153	                    	028.006	+00.315	 2.934	  2.919	 4.591	 1.83	 1.66	 0.101	 19	 0.55	 0.004	   	280.3281	-04.2388
1G040421-000493	N77                 	040.421	-00.049	 2.015	  2.009	 3.192	 1.27	 1.18	 0.075	 13	 0.54	 0.007	   	286.3337	+06.6387
1G339130-003706	                    	339.130	-00.371	 5.022	  5.001	 7.331	 3.03	 2.31	 0.092	 23	 0.54	 0.017	1  	251.3383	-46.1487
1G327988-000931	S71                 	327.988	-00.093	 2.320	  2.758	 3.611	 1.56	 1.29	 0.541	 16	 0.54	 0.009	2  	238.6743	-53.8013
