MWP	ONames	GLON	GLAT	Width	Height	Reff	Hit	Flag	_RA.icrs	_DE.icrs
1G331470-001400S	    	331.470	-00.140	 0.52	 0.53	 0.37	 0.54	 	243.0335	-51.5330
1G018180+001100S	    	018.180	+00.110	 0.47	 0.47	 0.34	 0.50	 	275.9132	-13.0467
1G017690-000900S	    	017.690	-00.090	 0.61	 0.59	 0.42	 0.49	 	275.8588	-13.5733
1G336010-003700S	    	336.010	-00.370	 0.52	 0.52	 0.37	 0.45	 	248.2720	-48.4757
1G012200-001600S	    	012.200	-00.160	 0.54	 0.53	 0.38	 0.42	 	273.2151	-18.4408
1G013780+004900S	    	013.780	+00.490	 0.61	 0.57	 0.42	 0.42	2	273.4110	-16.7425
1G024920+000800S	    	024.920	+00.080	 0.67	 0.67	 0.47	 0.42	 	279.1156	-07.0889
1G338870+000200S	    	338.870	+00.020	 0.66	 0.63	 0.45	 0.42	 	250.6664	-46.0893
1G011020-003700S	    	011.020	-00.370	 0.59	 0.58	 0.41	 0.41	 	272.8099	-19.5764
1G345510+001600S	    	345.510	+00.160	 0.57	 0.56	 0.40	 0.41	2	256.2975	-40.8493
1G039430-001900S	    	039.430	-00.190	 0.59	 0.57	 0.41	 0.40	 	286.0023	+05.6935
1G339770+000100S	    	339.770	+00.010	 0.61	 0.60	 0.43	 0.40	2	251.5205	-45.4148
1G346040+000500S	    	346.040	+00.050	 0.48	 0.48	 0.34	 0.40	 	256.8344	-40.4927
1G331400-001800S	    	331.400	-00.180	 0.63	 0.62	 0.44	 0.39	2	242.9953	-51.6100
1G004060-000100S	    	004.060	-00.010	 0.55	 0.52	 0.38	 0.38	 	268.7560	-25.4557
1G008910+001700S	    	008.910	+00.170	 0.53	 0.53	 0.38	 0.38	2	271.2129	-21.1584
1G012810-003100S	    	012.810	-00.310	 0.62	 0.62	 0.44	 0.38	2	273.6611	-17.9770
1G052980-006200S	    	052.980	-00.620	 0.60	 0.61	 0.43	 0.38	2	292.8774	+17.4662
1G339780+000200S	    	339.780	+00.020	 0.47	 0.48	 0.34	 0.38	2	251.5189	-45.4007
1G343290+001600S	    	343.290	+00.160	 0.52	 0.51	 0.37	 0.38	2	254.4722	-42.6023
1G357970-001700S	    	357.970	-00.170	 0.54	 0.52	 0.37	 0.38	2	265.3433	-30.7533
1G010990-003700S	    	010.990	-00.370	 0.65	 0.63	 0.45	 0.37	 	272.7945	-19.6027
1G018850-004800S	N24 	018.850	-00.480	 0.57	 0.58	 0.41	 0.37	2	276.7693	-12.7299
1G049570-002700S	    	049.570	-00.270	 0.59	 0.66	 0.44	 0.37	2	290.8652	+14.6358
1G301760+002600S	    	301.760	+00.260	 0.60	 0.55	 0.41	 0.37	 	190.3133	-62.5886
1G331140+001100S	    	331.140	+00.110	 0.49	 0.49	 0.34	 0.37	 	242.3710	-51.5742
1G334350-006600S	    	334.350	-00.660	 0.49	 0.47	 0.34	 0.37	 	246.8489	-49.8808
1G352760-003500S	    	352.760	-00.350	 0.56	 0.54	 0.39	 0.37	 	262.1610	-35.2322
1G307500-008200S	    	307.500	-00.820	 0.68	 0.71	 0.49	 0.36	2	203.0785	-63.3286
1G332670-003300S	    	332.670	-00.330	 0.54	 0.53	 0.38	 0.36	 	244.6264	-50.8406
1G339240+000100S	    	339.240	+00.010	 0.65	 0.67	 0.47	 0.36	2	251.0264	-45.8166
1G005100+000000S	    	005.100	+00.000	 0.67	 0.71	 0.49	 0.35	 	269.3238	-24.5519
1G014210-001100S	    	014.210	-00.110	 0.58	 0.58	 0.41	 0.35	 	274.1757	-16.6509
1G032400-003300S	    	032.400	-00.330	 0.56	 0.57	 0.40	 0.35	 	282.9106	-00.6239
1G035720-009300S	    	035.720	-00.930	 0.60	 0.59	 0.42	 0.35	 	284.9596	+02.0564
1G335940-002900S	    	335.940	-00.290	 0.68	 0.63	 0.46	 0.35	2	248.1117	-48.4724
1G339700+003000S	    	339.700	+00.300	 0.52	 0.52	 0.37	 0.35	 	251.1426	-45.2789
1G002170+000100S	    	002.170	+00.010	 0.55	 0.56	 0.39	 0.34	 	267.6650	-27.0729
1G005630-002900S	    	005.630	-00.290	 0.62	 0.56	 0.42	 0.34	 	269.8904	-24.2376
1G009970-002100S	    	009.970	-00.210	 0.59	 0.57	 0.41	 0.34	 	272.1207	-20.4182
1G018170+003400S	    	018.170	+00.340	 0.65	 0.67	 0.46	 0.34	2	275.6999	-12.9477
1G025820-001900S	    	025.820	-00.190	 0.51	 0.50	 0.36	 0.34	 	279.7732	-06.4133
1G027610+000300S	    	027.610	+00.030	 0.63	 0.63	 0.45	 0.34	2	280.4005	-04.7213
1G046140-001400S	    	046.140	-00.140	 0.55	 0.55	 0.39	 0.34	 	289.0944	+11.6678
1G297720-007000S	    	297.720	-00.700	 0.67	 0.63	 0.46	 0.34	 	181.2770	-63.1020
1G311630-002600S	    	311.630	-00.260	 0.49	 0.48	 0.34	 0.34	 	211.5627	-61.8618
1G335470+002000S	    	335.470	+00.200	 0.55	 0.51	 0.38	 0.34	 	247.0875	-48.4774
1G342900-000900S	    	342.900	-00.090	 0.71	 0.71	 0.50	 0.34	 	254.4080	-43.0632
1G345480-002200S	    	345.480	-00.220	 0.52	 0.51	 0.36	 0.34	 	256.6749	-41.1026
1G358890+000800S	    	358.890	+00.080	 0.49	 0.49	 0.34	 0.34	 	265.6596	-29.8399
1G010500+000300S	    	010.500	+00.030	 0.61	 0.60	 0.43	 0.33	 	272.1710	-19.8384
1G016420-003700S	    	016.420	-00.370	 0.64	 0.66	 0.46	 0.33	2	275.4989	-14.8262
1G030390+004900S	    	030.390	+00.490	 0.62	 0.63	 0.44	 0.33	 	281.2635	-02.0385
1G038910-001500S	    	038.910	-00.150	 0.52	 0.52	 0.37	 0.33	2	285.7272	+05.2497
1G039270+003500S	    	039.270	+00.350	 0.59	 0.55	 0.40	 0.33	 	285.4462	+05.7987
1G026720+001700S	    	026.720	+00.170	 0.54	 0.54	 0.38	 0.32	 	279.8663	-05.4484
1G313740-005000S	    	313.740	-00.500	 0.57	 0.54	 0.39	 0.32	 	215.9363	-61.4196
1G318920-004500S	    	318.920	-00.450	 0.57	 0.56	 0.40	 0.32	2	225.4193	-59.2176
1G342800-006900S	    	342.800	-00.690	 0.49	 0.54	 0.37	 0.32	 	254.9696	-43.5137
1G006040+003200S	    	006.040	+00.320	 0.62	 0.59	 0.43	 0.31	 	269.5358	-23.5780
1G009480-002300S	    	009.480	-00.230	 0.61	 0.57	 0.42	 0.31	 	271.8850	-20.8562
1G010470+000200S	    	010.470	+00.020	 0.50	 0.49	 0.35	 0.31	2	272.1648	-19.8694
1G011270-000500S	    	011.270	-00.050	 0.47	 0.46	 0.33	 0.31	 	272.6404	-19.2031
1G027090+005100S	    	027.090	+00.510	 0.58	 0.58	 0.41	 0.31	 	279.7332	-04.9637
1G033990-000100S	    	033.990	-00.010	 0.54	 0.55	 0.38	 0.31	 	283.3509	+00.9371
1G307330+002800S	    	307.330	+00.280	 0.60	 0.60	 0.42	 0.31	 	202.3445	-62.2673
1G311490+004200S	    	311.490	+00.420	 0.54	 0.55	 0.39	 0.31	2	210.8803	-61.2483
1G317800-007700S	    	317.800	-00.770	 0.75	 0.79	 0.54	 0.31	2	223.7584	-60.0247
1G336010-003600S	    	336.010	-00.360	 0.57	 0.51	 0.38	 0.31	 	248.2609	-48.4689
1G340580+003500S	    	340.580	+00.350	 0.56	 0.57	 0.40	 0.31	2	251.8965	-44.5775
1G344780-002200S	    	344.780	-00.220	 0.66	 0.58	 0.44	 0.31	 	256.1110	-41.6603
1G350400-000600S	    	350.400	-00.060	 0.72	 0.68	 0.50	 0.31	2	260.2216	-37.0212
1G357150-001000S	    	357.150	-00.100	 0.48	 0.48	 0.34	 0.31	 	264.7656	-31.4109
1G012470+001000S	    	012.470	+00.100	 0.45	 0.45	 0.32	 0.30	 	273.1113	-18.0791
1G012800-003300S	    	012.800	-00.330	 0.61	 0.60	 0.43	 0.30	2	273.6745	-17.9953
1G014990-001200S	    	014.990	-00.120	 0.57	 0.51	 0.38	 0.30	 	274.5705	-15.9690
1G020700-002800S	    	020.700	-00.280	 0.53	 0.55	 0.38	 0.30	 	277.4666	-10.9987
1G028030-000600S	    	028.030	-00.060	 0.65	 0.63	 0.45	 0.30	2	280.6735	-04.3890
1G331940-002400S	    	331.940	-00.240	 0.57	 0.56	 0.40	 0.30	 	243.6913	-51.2829
1G335400+000400S	    	335.400	+00.040	 0.67	 0.66	 0.47	 0.30	2	247.1891	-48.6386
1G338590-000100S	    	338.590	-00.010	 0.70	 0.68	 0.49	 0.30	2	250.4324	-46.3196
1G341270+000700S	    	341.270	+00.070	 0.53	 0.53	 0.37	 0.30	 	252.8170	-44.2281
1G018300-008500S	    	018.300	-00.850	 0.48	 0.48	 0.34	 0.29	 	276.8428	-13.3888
1G018320-008400S	    	018.320	-00.840	 0.48	 0.47	 0.34	 0.29	 	276.8432	-13.3665
1G024200+002400S	    	024.200	+00.240	 0.55	 0.53	 0.38	 0.29	 	278.6383	-07.6545
1G029910-003300S	    	029.910	-00.330	 0.47	 0.45	 0.32	 0.29	 	281.7745	-02.8398
1G039510-002800S	    	039.510	-00.280	 0.65	 0.61	 0.45	 0.29	 	286.1196	+05.7233
1G050270-004400S	    	050.270	-00.440	 0.67	 0.64	 0.47	 0.29	2	291.3631	+15.1719
1G307770+005500S	    	307.770	+00.550	 0.57	 0.57	 0.40	 0.29	 	203.1854	-61.9331
1G312310+006700S	    	312.310	+00.670	 0.65	 0.66	 0.46	 0.29	 	212.3538	-60.7740
1G321630+000000S	    	321.630	+00.000	 0.59	 0.58	 0.42	 0.29	 	229.4433	-57.4599
1G325060-001900S	    	325.060	-00.190	 0.53	 0.51	 0.37	 0.29	 	234.7845	-55.6842
1G329520+000900S	    	329.520	+00.090	 0.63	 0.59	 0.43	 0.29	 	240.4267	-52.6696
1G331150+001200S	    	331.150	+00.120	 0.49	 0.51	 0.35	 0.29	2	242.3720	-51.5600
1G336220+001500S	    	336.220	+00.150	 0.66	 0.65	 0.46	 0.29	2	247.9164	-47.9674
1G339210+000900S	    	339.210	+00.090	 0.60	 0.60	 0.42	 0.29	 	250.9115	-45.7869
1G349300+000900S	    	349.300	+00.090	 0.47	 0.47	 0.33	 0.29	 	259.2713	-37.8354
1G358080-001600S	    	358.080	-00.160	 0.67	 0.59	 0.45	 0.29	2	265.4010	-30.6546
1G004610+001800S	    	004.610	+00.180	 0.49	 0.47	 0.34	 0.28	 	268.8813	-24.8850
1G006610-000800S	    	006.610	-00.080	 0.70	 0.71	 0.50	 0.28	 	270.2232	-23.2828
1G011690-002300S	    	011.690	-00.230	 0.54	 0.55	 0.39	 0.28	 	273.0214	-18.9217
1G013580-002300S	    	013.580	-00.230	 0.67	 0.67	 0.47	 0.28	2	273.9726	-17.2621
1G018720-002300S	N24 	018.720	-00.230	 0.57	 0.56	 0.40	 0.28	2	276.4805	-12.7283
1G023300-002800S	    	023.300	-00.280	 0.78	 0.79	 0.55	 0.28	 	278.6858	-08.6929
1G026190-001800S	    	026.190	-00.180	 0.54	 0.52	 0.38	 0.28	 	279.9349	-06.0798
1G029120+000900S	    	029.120	+00.090	 0.61	 0.63	 0.44	 0.28	 	281.0391	-03.3509
1G029590-006600S	    	029.590	-00.660	 0.59	 0.55	 0.40	 0.28	2	281.9224	-03.2751
1G032990+000400S	    	032.990	+00.040	 0.70	 0.70	 0.49	 0.28	 	282.8504	+00.0699
1G034270-002100S	N63 	034.270	-00.210	 0.66	 0.68	 0.47	 0.28	2	283.6566	+01.0951
1G034740-001000S	N63 	034.740	-00.100	 0.55	 0.54	 0.39	 0.28	 	283.7732	+01.5635
1G329270+000500S	    	329.270	+00.050	 0.70	 0.67	 0.48	 0.28	2	240.1580	-52.8637
1G339070-001900S	    	339.070	-00.190	 0.61	 0.60	 0.43	 0.28	2	251.0840	-46.0760
1G341910-004600S	    	341.910	-00.460	 0.57	 0.53	 0.39	 0.28	 	253.9531	-44.0673
1G344200-005400S	    	344.200	-00.540	 0.64	 0.65	 0.46	 0.28	2	255.9790	-42.3154
1G346330-001700S	    	346.330	-00.170	 0.71	 0.75	 0.52	 0.28	2	257.2940	-40.3920
1G353910+005600S	    	353.910	+00.560	 0.70	 0.71	 0.50	 0.28	2	262.0159	-33.7706
1G357480-000400S	    	357.480	-00.040	 0.57	 0.55	 0.39	 0.28	 	264.9118	-31.0997
1G001100-000900S	    	001.100	-00.090	 0.56	 0.56	 0.39	 0.27	2	267.1414	-28.0422
1G017130+001400S	    	017.130	+00.140	 0.49	 0.49	 0.35	 0.27	 	275.3789	-13.9597
1G019740+002800S	    	019.740	+00.280	 0.84	 1.05	 0.67	 0.27	2	276.5058	-11.5882
1G023850-001300S	    	023.850	-00.130	 0.67	 0.66	 0.47	 0.27	2	278.8072	-08.1356
1G026980-003200S	    	026.980	-00.320	 0.58	 0.55	 0.40	 0.27	2	280.4235	-05.4416
1G029290-003400S	    	029.290	-00.340	 0.56	 0.57	 0.40	 0.27	 	281.5001	-03.3960
1G032120+000900S	    	032.120	+00.090	 0.49	 0.49	 0.34	 0.27	2	282.4091	-00.6815
1G034800-002600S	N63 	034.800	-00.260	 0.61	 0.61	 0.43	 0.27	 	283.9430	+01.5439
1G043930-003400S	    	043.930	-00.340	 0.56	 0.56	 0.40	 0.27	 	288.2294	+09.6181
1G053370+006100S	    	053.370	+00.610	 0.55	 0.55	 0.39	 0.27	 	291.9392	+18.3980
1G330480-003800S	    	330.480	-00.380	 0.50	 0.50	 0.35	 0.27	 	242.1185	-52.3813
1G334740+003400S	    	334.740	+00.340	 0.52	 0.56	 0.38	 0.27	 	246.1654	-48.9040
1G336690-000900S	    	336.690	-00.090	 0.65	 0.69	 0.48	 0.27	 	248.6554	-47.7863
1G353510-002700S	    	353.510	-00.270	 0.46	 0.45	 0.32	 0.27	 	262.5846	-34.5627
1G356410+005300S	    	356.410	+00.530	 0.59	 0.57	 0.41	 0.27	 	263.6754	-31.6964
1G012880+004800S	    	012.880	+00.480	 0.69	 0.71	 0.49	 0.26	2	272.9683	-17.5370
1G013630+001900S	    	013.630	+00.190	 0.89	 0.88	 0.63	 0.26	2	273.6113	-17.0178
1G016390-001400S	N18 	016.390	-00.140	 0.46	 0.47	 0.33	 0.26	 	275.2744	-14.7444
1G018520-003000S	    	018.520	-00.300	 0.49	 0.48	 0.34	 0.26	 	276.4483	-12.9379
1G022950+003000S	    	022.950	+00.300	 0.55	 0.54	 0.38	 0.26	 	278.0018	-08.7358
1G026150+003200S	    	026.150	+00.320	 0.51	 0.53	 0.37	 0.26	 	279.4697	-05.8861
1G028560-002900S	    	028.560	-00.290	 0.51	 0.51	 0.36	 0.26	 	281.1215	-04.0227
1G030390-007900S	    	030.390	-00.790	 0.70	 0.65	 0.48	 0.26	 	282.4035	-02.6225
1G037810-003800S	    	037.810	-00.380	 0.76	 0.71	 0.52	 0.26	2	285.4269	+04.1665
1G313510-005000S	    	313.510	-00.500	 0.51	 0.51	 0.36	 0.26	 	215.4846	-61.4990
1G314580-003500S	    	314.580	-00.350	 0.50	 0.46	 0.34	 0.26	 	217.4512	-60.9775
1G323240-002700S	    	323.240	-00.270	 0.86	 0.79	 0.58	 0.26	 	232.1985	-56.8044
